Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.78,-2.55,4.06,-0.14,-0.08,-0.02
9.29,-2.65,3.18,-0.24,-0.64,0
8.8,-2.17,1.86,-0.61,-1.32,-0.21
8.71,-1.02,-1.29,-0.24,-1.16,-0.2
8.97,-1.61,-2.85,-0.17,-0.62,-0.19
9.66,-1.32,-4.09,-0.01,-0.14,-0.06
9.31,-0.37,-4.15,0.01,-0.01,0
10.19,-1.7,-4.43,-0.13,0.11,-0.01
10.8,-1.86,-3.98,-0.13,0.05,0.02
10.41,-1.06,-4.55,0.02,0.03,0.02
10.47,-1.7,-3.69,-0.04,0.52,0.01
