Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.65,-0.01,-0.03,-0.1,-0.59,-0.03
11.64,-0.73,-1.71,-0.02,-0.12,0.05
11.52,-0.58,-1.78,0.03,-0.02,-0.12
10.7,-0.1,-1.31,-0.35,0.07,-0.08
15.2,-0.68,-2,0.22,-0.32,0.04
11.21,-0.71,-2.46,-0.14,-0.41,0.01
9.29,-0.58,-2.73,-0.13,0.06,-0.02
8.8,-0.79,-1.57,-0.21,0.41,-0.06
8.45,-0.83,-0.67,-0.01,0.53,-0.01
7.32,-0.18,-0.46,-0.2,0.35,-0.09
9.66,-0.41,0.76,-0.25,0.14,-0.01
10.41,-0.38,0.36,-0.22,0.1,-0.02
