Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
4.87,0.36,-7.44,-0.08,-1.76,-0.2
1.46,1.05,-8.86,-0.14,-1.46,-0.25
-1.31,0.77,-9.41,-0.15,-0.95,-0.23
-2.43,1.21,-8.9,-0.14,-0.47,-0.13
-2.87,1.32,-8.96,-0.09,-0.15,0.04
-2.89,1.14,-9.02,-0.09,0.3,0.09
-1.97,1.15,-9.18,-0.16,0.85,0.17
0.83,0.89,-8.43,-0.1,1.62,0.4
5.25,0.74,-6.98,0.04,1.92,0.38
7.69,0.5,-4.4,-0.07,1.77,0.17
9.56,-0.01,-2.56,-0.05,1.28,0.08
