Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.92,-2.17,1.36,0.03,-0.65,0.86
9.09,-3.29,-0.04,-0.32,-0.83,0.94
7.79,-5.49,-1.7,-0.4,-0.72,1.22
5.43,-7.15,-2.76,0.03,-0.74,0.8
4.62,-8.68,-3.46,0.1,-0.29,0.28
4.27,-9.24,-3.53,-0.1,-0.05,-0.12
5.33,-7.61,-3.21,-0.32,0.43,-1.17
7.43,-5.46,-1.92,0.09,0.45,-1.59
8.52,-3.99,-0.91,0.04,0.48,-1.5
9.18,-0.08,-0.12,-0.82,0.5,-1.14
10,1.41,0.14,-0.21,0.26,-0.56
