Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.13,-0.50,2.99,-0.11,-0.01,-0.01
10.10,-0.48,3.02,-0.09,-0.02,-0.02
10.01,-0.55,2.87,-0.10,-0.03,-0.02
10.10,-0.54,2.97,-0.08,-0.03,-0.01
10.09,-0.46,2.79,-0.04,-0.08,-0.02
10.10,-0.56,2.64,-0.02,-0.11,-0.02
10.28,-0.45,2.45,0.09,-0.16,0.01
10.17,-0.60,2.24,0.07,-0.17,-0.03
10.25,-0.50,1.95,0.02,-0.24,0.00
10.41,-0.42,1.42,-0.01,-0.38,-0.11
10.44,-0.21,0.53,0.01,-0.69,-0.14
9.34,0.08,-1.18,-0.11,-1.03,-0.19
8.82,0.39,-3.22,-0.16,-1.19,-0.22
7.48,0.93,-5.19,-0.13,-1.09,-0.18
6.64,1.01,-7.14,-0.05,-0.99,-0.12
4.61,1.06,-7.78,-0.09,-0.81,-0.13
3.47,0.96,-8.32,-0.15,-0.68,-0.13
2.26,1.35,-8.66,-0.14,-0.48,-0.08
1.09,1.19,-9.28,-0.21,-0.34,-0.03
0.92,1.60,-9.16,-0.20,-0.17,-0.10
1.08,1.96,-9.18,-0.19,-0.04,-0.01
1.00,1.94,-8.94,-0.10,0.06,0.05
1.04,1.80,-8.82,-0.09,0.15,0.09
1.80,1.84,-8.94,-0.09,0.38,0.07
2.95,1.96,-8.70,-0.11,0.58,0.11
3.87,1.52,-8.16,0.04,0.61,0.11
5.01,1.12,-7.88,-0.03,0.57,0.09
6.15,0.54,-7.02,0.05,0.71,0.16
7.62,0.63,-6.12,-0.21,0.76,0.14
8.24,0.80,-4.83,-0.22,0.86,0.18
