Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.28,-0.5,2.45,-0.1,-0.16,-0.07
10.73,-0.45,1.9,-0.05,-0.78,-0.08
10,-0.27,-0.52,-0.06,-1.3,-0.06
8.77,-0.27,-2.89,-0.07,-1.44,-0.08
7.89,-0.36,-5.61,-0.21,-1.31,-0.1
5.46,0.01,-7.17,-0.12,-1.17,-0.12
4.07,0.13,-7.81,-0.09,-0.88,-0.05
2.46,0.04,-8.96,-0.08,-1.14,-0.09
0.02,0.26,-8.81,-0.18,-1.14,-0.04
-2.37,0.36,-9.24,-0.19,-0.82,-0.04
-3.4,0.39,-8.73,-0.14,-0.34,0.05
-3.22,0.42,-8.34,-0.09,-0.13,-0.02
-3.49,0.54,-8.22,-0.11,-0.08,-0.04
-3.99,0.14,-8.29,-0.08,0.03,-0.03
-3.53,0.26,-8.39,-0.06,0.19,-0.07
-3.11,0.1,-8.87,-0.04,0.32,-0.03
-2.47,0.28,-9.05,-0.17,0.6,0.04
-0.5,0.19,-8.96,-0.06,1.03,0.15
2.34,0.18,-8.48,-0.02,1.43,0.26
4.38,-0.7,-7.52,0.08,1.7,0.26
7.7,-0.87,-4.94,-0.36,1.72,0.33
9.45,-0.29,-2.38,-0.47,1.33,0.05
10.13,-0.43,-0.87,-0.23,0.96,0.04
10.43,-0.65,0.61,-0.32,0.68,0.07
10.47,-0.94,1.58,-0.3,0.25,0.08
10.34,-0.74,2.01,-0.11,0.11,0.03
10.17,-1.1,2.07,-0.09,0.11,0.05
10.24,-1.36,2.34,-0.16,0.07,0.05
10.18,-1.21,2.21,-0.16,0,0
10.13,-1.49,2.33,-0.14,0,0.03
