Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.27,-0.37,1.92,-0.09,-0.02,-0.01
10.17,-0.46,1.92,-0.10,-0.02,-0.01
10.28,-0.49,1.91,-0.07,-0.10,-0.02
10.32,-0.35,1.68,-0.10,-0.24,-0.04
10.37,-0.44,1.08,-0.10,-0.43,-0.04
10.30,-0.13,0.06,-0.15,-0.60,-0.11
9.96,0.02,-1.28,-0.18,-0.79,-0.09
9.26,0.25,-2.68,-0.10,-0.86,-0.05
8.33,-0.06,-4.55,0.05,-1.00,-0.02
6.54,0.24,-5.88,-0.08,-1.05,-0.08
5.55,-0.19,-7.53,0.04,-0.96,-0.03
4.05,-0.05,-8.42,-0.05,-0.84,-0.07
2.55,-0.20,-8.65,-0.12,-0.73,-0.16
1.23,-0.19,-9.16,-0.14,-0.65,-0.09
0.12,0.26,-8.91,-0.22,-0.60,-0.12
-0.99,0.48,-9.34,-0.14,-0.45,-0.10
-1.49,0.48,-9.05,-0.29,-0.23,-0.05
-1.98,0.40,-8.96,-0.08,-0.08,-0.03
-1.89,0.52,-8.75,-0.12,0.03,-0.03
-1.77,0.58,-9.12,-0.04,0.10,0.02
-1.52,0.15,-9.33,-0.10,0.32,0.02
-0.58,0.18,-9.36,-0.03,0.73,0.03
1.25,-0.24,-8.89,-0.09,0.99,0.08
3.47,-0.17,-8.15,-0.11,0.99,0.08
5.33,-0.07,-7.78,-0.20,0.72,0.06
6.28,0.39,-6.90,-0.12,0.68,0.11
7.48,0.23,-6.66,0.02,0.64,0.08
8.23,-0.59,-4.97,-0.04,0.95,-0.03
9.00,-0.40,-3.11,-0.10,1.16,-0.05
9.79,-0.23,-0.87,-0.21,1.02,-0.02
