Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.33,-0.51,1.51,-0.15,-0.1,-0.02
10.56,-0.47,1.23,-0.1,-0.41,-0.08
10.3,-0.25,-0.09,-0.02,-1.17,-0.11
9.08,-0.33,-2.82,0.03,-1.61,-0.01
7.33,-0.28,-5.27,-0.23,-1.46,0.01
4.95,0.23,-7.62,-0.14,-1.46,-0.12
2.6,-0.09,-8.6,-0.11,-1.05,-0.1
0.93,0.11,-9.07,-0.1,-0.98,-0.11
-1.07,-0.03,-9.13,-0.16,-0.81,0.01
-2.25,0.07,-9.11,-0.16,-0.52,-0.02
-2.52,0.17,-8.62,-0.12,-0.26,-0.05
-3.06,-0.08,-8.25,-0.07,-0.1,-0.07
-3.43,0.28,-8.5,-0.14,0.05,-0.03
-2.56,0.28,-8.25,-0.15,0.1,-0.03
-2.67,0.43,-8.98,-0.17,0.29,0.03
-1.7,0.52,-9.31,-0.06,0.8,0.03
0.71,0.31,-9.29,-0.07,1.43,0.22
3.96,0.29,-7.47,-0.08,1.61,0.1
6.42,-0.14,-5.64,-0.06,1.71,0.07
8.76,-0.09,-3.46,0.14,1.61,0.03
9.88,-0.57,-0.65,-0.15,1.46,0.04
9.98,-0.45,1.48,-0.1,0.78,0.01
10.56,-0.61,2.18,-0.1,0.21,0
10.26,-0.6,2.57,-0.11,-0.03,0.01
10.19,-0.58,2.59,-0.18,-0.01,0
10.13,-0.57,2.32,-0.16,-0.04,-0.01
10.19,-0.58,2.32,-0.11,-0.03,-0.03
10.07,-0.57,2.35,-0.11,-0.01,0
