Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.07,-0.75,2.55,-0.13,-0.07,-0.02
10.29,-0.68,2.40,-0.10,-0.19,-0.02
10.45,-0.69,2.02,-0.09,-0.56,-0.03
10.10,-0.49,0.18,-0.18,-1.31,-0.04
9.04,-0.56,-2.36,-0.19,-1.53,-0.04
7.69,-0.74,-5.13,-0.18,-1.15,-0.05
6.64,-0.74,-6.85,-0.18,-1.05,-0.05
4.50,-0.23,-7.52,-0.03,-1.08,-0.08
3.28,-0.32,-8.60,-0.12,-0.97,-0.07
1.11,-0.21,-8.93,-0.20,-0.97,-0.10
-0.58,-0.05,-9.19,-0.15,-0.63,-0.04
-1.42,0.24,-9.02,-0.11,-0.41,-0.02
-2.35,0.08,-8.99,-0.16,-0.50,-0.04
-2.89,0.23,-8.52,-0.25,-0.26,0.00
-3.62,0.40,-8.68,0.00,-0.07,0.02
-3.61,-0.16,-8.44,-0.03,0.11,-0.03
-2.82,0.03,-8.29,-0.10,0.24,-0.05
-2.83,0.12,-9.02,-0.10,0.27,-0.07
-1.39,-0.10,-8.83,-0.06,0.65,-0.03
-0.14,0.55,-9.12,-0.14,0.84,0.02
2.43,0.20,-8.75,-0.04,1.29,0.12
4.73,-0.04,-7.60,-0.11,1.39,0.10
7.10,-0.21,-5.89,-0.07,1.36,0.09
8.36,-0.31,-3.78,-0.08,1.40,0.08
9.76,0.03,-1.74,-0.19,1.07,-0.05
10.31,-0.10,0.05,0.04,0.84,-0.04
10.37,-0.32,1.64,-0.12,0.53,-0.01
10.17,-0.36,2.21,-0.14,0.23,0.04
10.15,-0.53,2.40,-0.09,0.05,0.03
10.15,-0.57,2.58,-0.06,0.06,0.01
