Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.25,-0.96,2.48,0.01,0.01,0.08
10.42,-1.01,2.38,-0.02,-0.34,-0.04
10.35,-0.83,1.28,0.01,-0.91,-0.07
9.77,-0.64,-0.66,0.05,-1.62,-0.14
7.81,-0.62,-3.4,-0.15,-1.99,-0.11
6.26,-0.49,-7.37,-0.16,-1.66,0.08
3.8,-0.12,-8.33,-0.25,-1.13,0.07
1.19,-0.14,-10.02,-0.29,-0.94,0.04
-0.83,-0.27,-10.08,-0.3,-0.54,-0.04
-0.84,0.75,-8.91,-0.11,-0.04,-0.07
-0.89,0.34,-8.75,-0.08,-0.06,-0.03
-1.09,0.25,-9.34,-0.09,0.06,-0.01
-0.73,0.34,-9.14,-0.1,0.47,0.03
0.93,-0.06,-9.14,-0.05,0.62,0.07
2.63,0.07,-8.87,-0.12,0.87,0.08
4.54,-0.43,-7.65,-0.05,1.13,0.08
6.26,-0.21,-6.58,0.01,1.16,0.02
8.27,-0.74,-5.1,0.06,1.22,0.01
9.41,-0.64,-2.6,0.08,1.39,0.03
10.33,-1.12,-0.16,0.09,1.11,0.02
10,-1.54,1.67,0.09,0.76,0.07
10.34,-1.45,2.72,0.05,0.4,0.13
9.91,-1.32,2.99,-0.03,0.07,0.03
10.14,-1.64,3.45,0.05,-0.06,-0.11
10.27,-1.37,2.86,-0.15,-0.09,-0.03
9.88,-1.25,3.27,-0.24,-0.13,0
9.94,-1.5,2.98,-0.13,-0.07,-0.01
10.06,-1.44,2.93,-0.04,-0.05,-0.02
9.89,-1.84,3.3,-0.07,-0.01,-0.05
