Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.41,-0.98,1.63,-0.18,-1.1,-0.09
9.21,-1.06,-0.96,-0.18,-1.36,-0.05
9.64,-0.75,-3.54,-0.24,-1.36,0.01
7.85,-0.64,-4.97,-0.33,-1.19,-0.06
5.86,-0.5,-6.72,-0.28,-1.2,-0.1
3.51,0.75,-8.15,-0.29,-1.22,-0.03
1.02,0.11,-8.26,0.06,-1,0.02
-0.31,-0.46,-8.88,-0.13,-0.88,-0.04
-2.06,0.72,-8.99,-0.46,-0.66,0.06
-3.06,0.6,-8.48,-0.44,-0.47,-0.01
-4.07,3.02,-7.83,-0.35,-0.17,-0.12
-3.4,1.41,-7.81,0.37,0.08,-0.28
-3.44,0.91,-8.65,0.1,0.2,-0.21
-3.98,-0.2,-10.39,-0.02,0.12,-0.11
-3.03,-0.24,-9.05,-0.3,0.6,0.11
-1.01,1.13,-8.64,-0.56,0.63,0.19
-0.12,1.13,-7.66,-0.07,0.91,0.13
2.53,1.54,-9.58,-0.01,1.29,0.36
5.34,0.99,-6.49,0.07,1.72,0.39
8.27,0.34,-4.81,0.17,1.44,0.24
9.65,-0.12,-2.97,0.37,1.13,0.04
9.54,-0.67,-1.08,0.38,0.9,-0.09
10.11,-0.64,0.27,0.34,0.7,0.01
9.84,-0.65,1.9,0.17,0.6,-0.02
10.38,-0.91,2.67,0.16,0.34,-0.03
10.23,-1,3,-0.08,-0.12,0.04
9.98,-0.6,2.61,-0.16,-0.18,-0.01
