Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.57,-0.47,1.81,0.02,-0.17,0
10.39,-0.67,0.71,-0.2,-1.22,-0.07
7.62,-0.23,-1.87,-0.28,-2.6,-0.13
5.84,-0.75,-7.35,-0.13,-2,0.08
2.16,-0.67,-8.34,-0.13,-1.15,0.15
1.58,-0.15,-9.53,-0.22,-0.77,0.17
-0.25,-0.09,-8.99,-0.29,-0.52,-0.01
-1.11,0.71,-9.35,-0.33,-0.27,-0.13
-0.81,0.46,-8.58,-0.12,-0.3,-0.02
-1.96,0.2,-8.91,-0.17,-0.33,-0.03
-1.96,0.81,-8.65,-0.21,-0.25,-0.07
-3.27,0.92,-9.85,-0.06,0.22,-0.04
-0.69,1.25,-7.79,-0.08,0.19,0.06
-2.4,1.05,-10.52,-0.15,0.32,0.06
-0.45,0.98,-9.45,-0.02,0.75,0.14
1.52,0.41,-8.64,-0.07,1.12,0.17
3.7,0.23,-6.63,0.02,1.84,0.14
7.12,-0.41,-5.24,0.08,1.93,0.24
9.68,-1.53,-1.21,0.11,2.09,0.23
10.01,-0.92,2.59,0.02,1.6,0.17
9.91,-0.69,4.63,0.23,1.06,0.1
9.16,-1.46,5.58,0.5,0.75,0.11
8.36,-1.38,6.61,0.29,0.49,0.06
8.21,-0.74,7.61,-0.1,0.22,0.09
8.45,-0.82,7.69,0,-0.22,0.08
8.63,-0.78,6.85,-0.11,-0.52,-0.03
8.79,-0.82,6.29,-0.16,-0.42,-0.02
