Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.3,-0.71,2.12,-0.02,-0.23,0
10.64,-0.66,1.12,-0.11,-1.45,-0.09
8.92,-0.73,-1.59,-0.17,-1.88,-0.09
7.05,-0.2,-5.13,-0.03,-2,-0.11
3.7,-1.12,-6.31,-0.09,-1.85,0.09
1.66,-0.87,-9.29,-0.35,-1.1,0.1
0.4,0.01,-9.95,-0.26,-0.2,0.06
0.02,0.1,-9.1,-0.25,0.15,-0.02
1.86,0.22,-8.83,-0.22,0.57,0.06
2.66,0.79,-8.84,-0.28,0.64,0.18
4.11,0.99,-9.68,-0.22,0.4,0.08
4.51,0.91,-8.68,-0.06,0.32,-0.05
6.23,0.82,-10.16,-0.03,-0.35,-0.14
3.16,0.61,-7.71,-0.05,-0.75,-0.13
1.39,0.86,-8.5,-0.15,-0.69,-0.12
0.9,0.95,-9.56,-0.12,-0.4,-0.07
0.18,0.56,-9.04,-0.15,0.46,-0.01
2.56,0.29,-7.94,0.12,1.53,0.15
6,0.31,-6.59,0.02,1.83,0.13
8.15,-0.66,-4.24,0.08,1.43,-0.01
9.65,-0.71,-2.04,0.23,1.26,0.05
10.11,-1.17,0.07,-0.01,1.07,0.08
10.09,-0.71,2.29,0.01,0.9,0.09
10.05,-1.42,3.22,0.05,0.52,0.07
9.89,-1.01,3.98,-0.02,0.27,0.02
10.09,-1.37,4.36,-0.04,-0.02,-0.03
9.89,-1.09,3.83,-0.15,-0.36,-0.11
9.88,-0.97,3.24,-0.14,-0.31,-0.05
