Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.32,-0.51,1.40,-0.11,-0.02,-0.02
10.37,-0.49,1.28,-0.11,-0.03,-0.02
10.59,-0.46,1.08,-0.16,-0.25,-0.03
10.86,-0.18,0.44,0.00,-1.20,-0.16
7.32,-0.48,-2.37,0.05,-3.12,-0.22
5.65,-0.21,-6.85,-0.10,-2.25,-0.05
0.82,0.20,-9.02,-0.22,-1.53,0.04
-2.99,0.00,-8.48,-0.37,-0.84,0.10
-1.67,0.20,-9.68,-0.02,0.60,0.12
0.26,0.94,-9.87,-0.06,1.28,0.05
4.60,0.65,-10.01,-0.16,0.47,-0.07
2.43,0.98,-9.68,-0.22,-0.24,-0.06
3.05,1.18,-11.89,0.12,-0.73,-0.06
-0.63,0.17,-9.14,0.12,-0.79,0.00
-1.26,-0.11,-8.58,-0.16,0.56,0.19
0.89,0.52,-7.09,-0.02,2.34,0.03
6.38,-0.47,-4.75,0.11,2.58,-0.05
9.30,-0.37,-1.17,0.10,2.00,0.05
10.78,-0.67,1.01,-0.10,1.07,0.01
10.46,-0.50,2.45,-0.20,0.56,-0.04
10.32,-0.29,2.60,-0.18,-0.02,0.01
10.13,-0.43,2.52,-0.18,-0.22,-0.05
10.26,-0.59,1.87,-0.09,-0.22,-0.07
10.20,-0.51,1.76,-0.08,-0.09,-0.05
10.23,-0.49,1.76,-0.17,-0.03,0.01
10.23,-0.44,1.55,-0.17,-0.03,-0.02
10.19,-0.39,1.64,-0.14,0.01,-0.04
10.27,-0.49,1.58,-0.19,-0.02,-0.04
10.26,-0.43,1.68,-0.19,-0.02,-0.03
10.28,-0.45,1.66,-0.16,0.00,-0.02
10.27,-0.4,1.7,-0.19,0.02,-0.02
