Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.26,-0.10,2.60,-0.07,-0.10,-0.10
10.29,0.29,2.27,-0.04,-0.23,-0.24
10.23,0.68,1.90,-0.06,-0.32,-0.38
10.02,1.58,1.21,-0.05,-0.40,-0.46
9.87,2.40,-0.21,-0.02,-0.66,-0.58
9.58,3.82,-1.42,-0.07,-0.62,-0.67
8.24,4.56,-2.27,-0.07,-0.61,-0.44
7.36,5.21,-3.51,-0.05,-0.68,-0.35
6.17,5.64,-4.25,-0.01,-0.59,-0.38
5.52,6.23,-5.06,-0.02,-0.45,-0.24
5.28,6.07,-5.13,-0.13,-0.31,-0.17
4.70,6.35,-5.00,-0.11,-0.25,-0.19
4.14,6.43,-5.53,-0.14,-0.32,-0.15
3.60,6.65,-5.74,-0.10,-0.22,-0.10
3.41,6.59,-5.76,-0.15,-0.06,0.06
3.41,6.50,-5.60,-0.18,-0.01,0.08
3.65,6.70,-5.41,-0.15,0.02,0.08
4.03,6.63,-5.49,-0.13,0.07,0.13
4.22,6.71,-5.48,-0.13,0.15,0.20
4.94,6.15,-5.07,-0.08,0.32,0.38
5.99,5.80,-4.92,-0.08,0.38,0.44
7.06,5.25,-4.16,0.02,0.49,0.47
7.99,4.17,-3.65,0.02,0.60,0.55
9.16,3.17,-2.60,0.20,0.65,0.46
9.60,2.25,-1.40,-0.05,0.74,0.41
10.13,1.26,-0.16,-0.14,0.61,0.44
10.20,0.67,0.88,-0.16,0.40,0.31
10.43,0.23,1.50,-0.08,0.25,0.23
10.17,-0.11,2.11,0.14,0.16,0.15
10.22,-0.83,2.27,-0.12,0.07,0.11
