Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.15,-0.34,2.61,-0.03,-0.03,0.02
10.10,-0.43,2.68,0.01,-0.04,0.04
10.19,-0.41,2.54,0.11,-0.09,0.09
10.30,-0.50,2.33,0.42,-0.27,0.21
10.19,-1.24,1.76,0.47,-0.44,0.32
10.19,-2.12,0.99,0.34,-0.68,0.44
9.69,-2.82,-0.42,0.04,-0.74,0.32
9.17,-3.48,-1.61,-0.08,-0.83,0.43
7.91,-4.37,-3.16,0.09,-0.90,0.45
6.68,-5.33,-4.41,-0.22,-0.87,0.37
5.34,-5.45,-5.86,-0.30,-1.03,0.36
3.38,-5.43,-6.92,-0.13,-0.82,0.25
2.40,-5.64,-7.26,0.03,-0.45,0.17
1.72,-6.02,-6.96,0.18,-0.26,0.06
1.22,-6.31,-6.73,-0.02,-0.21,0.06
0.91,-6.11,-6.55,-0.01,-0.18,0.15
0.23,-7.00,-6.66,-0.07,-0.09,0.08
0.41,-6.58,-6.61,-0.16,0.09,-0.02
0.68,-6.59,-6.50,-0.06,0.07,-0.04
0.76,-6.75,-6.49,-0.14,0.18,-0.12
1.23,-6.69,-6.48,-0.15,0.16,-0.13
1.92,-6.62,-6.75,-0.11,0.25,-0.21
2.80,-6.26,-6.22,-0.07,0.48,-0.33
3.81,-6.16,-6.14,-0.13,0.48,-0.34
5.01,-5.77,-5.83,-0.21,0.50,-0.40
6.15,-5.18,-5.49,-0.30,0.60,-0.44
6.89,-4.31,-4.39,-0.70,0.83,-0.52
8.53,-2.29,-3.52,-0.75,0.97,-0.56
9.62,-0.96,-2.21,-0.64,0.94,-0.43
10.04,-0.25,-0.19,-0.52,0.74,-0.24
