Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
11.16,-0.16,1.08,-0.44,-0.66,-0.18
10.54,0.56,-0.67,-0.73,-1.87,0.22
8,-0.79,-3.69,-0.53,-2.18,0.25
4.79,-0.83,-6.68,0.1,-2.09,0.04
0.8,-0.36,-9.1,-0.16,-1.57,-0.05
-1.56,-1.02,-9.35,-0.08,-1.04,0.1
-2.67,-0.27,-8.95,-0.11,-0.66,-0.02
-3.44,-0.42,-8.57,-0.24,-0.34,-0.1
-4.32,-0.39,-8.07,-0.34,-0.42,0.08
-4.81,0.78,-7.94,-0.31,-0.15,-0.07
-5.44,0.4,-9.4,-0.29,0,-0.15
-4.94,0.75,-8.68,-0.14,0.54,-0.1
-2.41,0.67,-7.8,-0.3,0.58,-0.18
-1.84,0.55,-8.19,-0.23,0.47,-0.16
-0.98,0.37,-8.67,-0.48,0.72,-0.12
0.7,1.92,-9.85,-0.04,1.29,0.19
3.66,1.13,-7.71,-0.08,1.95,0.32
6.31,0.46,-5.08,0.01,1.9,0.43
9.58,-0.15,-2.63,0.03,1.58,0.33
10.12,-0.89,-0.16,0.15,1.22,0.14
10.3,-0.89,1.75,0.24,0.72,0
9.89,-0.82,2.81,0.16,0.47,-0.04
9.76,-0.94,3.43,-0.06,0.46,0.03
9.34,-1,4.37,-0.06,0.49,0.08
10.06,-1.33,5.53,-0.12,0.16,0.17
10.02,-1.15,5.43,0.29,-0.56,0.01
9.63,-0.91,3.7,0.31,-0.65,-0.06
