Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.68,-0.92,2.79,0.23,-0.06,0.04
9.96,-1.24,2.30,0.08,-0.05,0.03
9.98,-0.45,1.99,-0.36,-0.11,-0.16
10.12,-0.07,1.75,-0.25,-0.25,-0.14
10.27,0.03,1.19,-0.21,-0.17,-0.21
10.30,0.51,1.05,-0.14,-0.15,-0.20
10.20,0.68,0.73,-0.38,-0.76,-0.33
9.48,2.35,-0.82,-0.25,-0.80,-0.40
8.94,2.35,-2.20,0.01,-0.95,-0.37
7.34,2.71,-4.75,-0.06,-1.15,-0.44
5.75,3.89,-6.48,0.23,-0.93,-0.47
4.53,3.24,-8.03,-0.20,-0.74,-0.18
3.69,3.74,-8.27,-0.16,-0.39,-0.01
3.54,3.73,-8.21,-0.15,-0.09,0.02
3.61,4.25,-7.92,-0.17,0.04,0.03
3.83,4.04,-7.49,-0.10,0.19,0.01
4.29,4.09,-7.35,-0.18,0.20,0.03
4.40,4.24,-7.36,-0.24,0.30,0.14
5.29,4.03,-6.68,-0.16,0.48,0.34
6.32,3.71,-5.72,-0.30,0.57,0.36
7.65,3.48,-4.70,-0.40,0.72,0.51
8.63,2.75,-3.03,-0.18,0.86,0.56
9.59,1.87,-1.69,0.06,0.75,0.44
10.01,0.75,-0.53,0.10,0.47,0.23
10.19,0.42,0.23,-0.09,0.41,0.22
10.30,0.09,0.73,-0.17,0.34,0.16
10.18,-0.11,1.32,-0.08,0.26,0.17
10.40,-0.48,1.88,-0.16,0.21,0.06
10.25,-0.54,2.26,-0.14,0.12,-0.03
10.27,-0.48,2.43,-0.04,0.07,-0.04
