Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
7.31,-0.51,-5.27,-0.17,-1.40,-0.05
5.65,-0.30,-7.32,-0.15,-1.36,-0.11
3.21,-0.44,-8.43,-0.03,-1.24,-0.09
0.99,-0.21,-9.01,-0.14,-0.99,-0.07
-0.68,-0.06,-8.81,-0.17,-0.82,-0.05
-2.26,0.00,-8.93,-0.14,-0.57,-0.01
-3.06,0.57,-8.81,-0.11,-0.30,-0.03
-3.18,0.13,-8.52,-0.10,-0.13,-0.03
-3.30,0.29,-8.37,-0.19,-0.02,-0.03
-3.31,0.11,-8.31,-0.19,0.05,-0.01
-3.22,0.31,-8.94,-0.10,0.12,0.00
-2.79,0.41,-8.98,-0.12,0.40,0.04
-1.92,0.44,-9.50,-0.14,0.81,0.07
0.76,0.29,-8.61,-0.03,1.14,0.11
3.31,0.69,-8.16,-0.08,1.47,0.10
5.99,0.13,-6.43,0.03,1.49,0.06
8.22,-0.26,-4.60,0.04,1.35,0.02
9.34,-0.21,-2.65,-0.01,1.23,0.00
9.91,-0.27,-0.55,-0.04,1.03,0.01
10.45,-0.48,0.82,-0.09,0.73,-0.02
10.40,-0.76,2.03,-0.20,0.14,0.00
10.27,-0.38,2.06,-0.23,0.01,-0.02
10.17,-0.55,2.09,-0.21,0.01,0.02
10.01,-0.63,2.03,-0.10,0.22,-0.10
10.22,-0.43,2.59,-0.38,0.00,-0.07
10.07,-0.26,2.60,-0.36,-0.07,0.07
10.20,-0.53,2.16,-0.14,-0.03,0.02
10.18,-0.76,2.30,-0.04,0.01,-0.03
10.28,-0.72,2.31,-0.13,-0.01,-0.04
10.17,-0.63,2.30,-0.20,-0.02,-0.02
