Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.66,-0.41,1.3,-0.24,-0.94,-0.1
9.44,-0.42,-1.37,-0.16,-1.78,-0.01
7.46,-0.55,-3.84,-0.28,-2.05,-0.07
4.8,-0.13,-7.8,-0.09,-1.73,0.01
2.1,-0.36,-9.18,-0.1,-0.82,0.08
0.84,-0.19,-9,-0.12,-0.48,0.03
1.24,-0.72,-8.06,-0.24,-0.64,0.01
-0.8,-0.15,-8.95,-0.2,-0.71,-0.03
-2.32,0.15,-8.94,-0.24,-0.51,-0.07
-2.93,0.53,-9.03,-0.2,-0.33,-0.11
-3.53,0.98,-8.03,-0.17,-0.13,-0.08
-4.68,0.81,-8.89,-0.09,-0.36,-0.1
-4.43,0.76,-9.41,-0.18,-0.16,-0.07
-4.2,0.84,-8.53,-0.18,0.18,-0.06
-2.89,0.47,-7.74,-0.07,0.31,0
-2.75,0.72,-9.07,-0.12,0.56,0.01
-0.92,1.12,-8.71,-0.03,1.03,0.05
1.24,0.64,-8.57,0.05,1.5,0.12
4.73,0.31,-6.95,-0.07,1.61,0.13
7.22,0.34,-5.78,-0.12,1.44,0.08
8.95,-0.47,-3.24,0,1.59,0.12
10.25,-0.25,-0.04,0.2,1.47,0.09
10.16,-1.21,2.26,0.29,0.88,0.04
10.36,-0.94,3.06,0.29,0.48,-0.05
10.51,-0.79,3.66,0.39,0.15,0.01
10.09,-0.76,3.8,-0.17,-0.2,0.01
10.05,-0.67,3.45,-0.18,-0.25,-0.01
