Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.20,-0.29,2.66,-0.11,-0.06,-0.04
10.19,-0.22,2.46,-0.08,-0.10,-0.05
10.32,-0.19,2.31,-0.06,-0.17,-0.06
10.37,-0.05,1.94,-0.02,-0.41,-0.09
10.16,0.06,0.95,-0.07,-0.81,-0.23
9.91,0.55,-1.10,-0.07,-1.03,-0.24
9.14,0.91,-3.15,0.08,-1.08,-0.13
8.03,1.10,-5.03,-0.05,-0.94,-0.11
6.81,0.99,-6.28,0.02,-0.92,-0.05
5.75,0.81,-7.35,0.01,-0.76,-0.07
4.53,0.79,-8.18,0.02,-0.68,-0.06
3.22,0.64,-8.45,-0.13,-0.60,-0.03
2.37,0.60,-8.80,-0.21,-0.58,-0.16
1.07,1.17,-9.02,-0.15,-0.52,-0.14
0.16,0.87,-9.26,-0.01,-0.44,-0.06
-0.65,0.74,-9.38,-0.06,-0.38,-0.06
-1.57,0.67,-8.75,-0.09,-0.26,0.00
-1.89,0.33,-8.61,-0.15,-0.07,0.07
-1.88,0.84,-9.08,-0.15,0.07,0.04
-1.38,0.81,-9.45,-0.14,0.39,0.07
0.12,0.66,-9.40,-0.10,0.72,0.11
1.45,1.25,-8.91,-0.07,0.87,0.19
3.42,0.28,-8.02,-0.05,0.80,0.15
5.31,0.52,-7.81,-0.06,0.91,0.13
6.55,0.24,-6.76,-0.13,1.07,0.13
8.01,0.15,-4.77,-0.08,1.33,0.15
9.10,-0.11,-1.80,-0.28,1.48,0.12
9.91,-0.02,0.52,-0.22,1.11,0.03
10.72,-0.23,1.83,-0.10,0.57,0.01
10.40,-0.40,2.87,0.03,0.28,0.00
