Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.58,-0.49,1.92,-0.10,-0.22,-0.04
10.40,-0.62,1.05,-0.06,-1.17,-0.07
9.10,-0.17,-1.47,-0.01,-1.79,-0.09
7.77,-0.45,-5.33,-0.22,-1.65,-0.09
5.48,-0.26,-7.11,-0.15,-1.46,-0.04
2.84,-0.28,-8.13,-0.07,-1.27,-0.06
0.61,-0.45,-9.05,-0.21,-1.26,-0.04
-1.94,-0.18,-9.25,-0.17,-0.82,0.00
-2.75,0.45,-9.10,-0.17,-0.29,0.02
-2.76,0.35,-8.55,-0.14,-0.06,0.00
-2.78,-0.13,-8.46,-0.10,0.01,-0.06
-2.79,0.45,-8.52,-0.13,-0.01,-0.01
-2.87,0.23,-8.56,-0.09,0.05,-0.01
-2.92,-0.12,-8.92,-0.08,0.13,-0.05
-2.41,-0.17,-9.28,-0.05,0.41,-0.05
-0.90,0.25,-9.25,-0.22,0.81,-0.03
1.18,0.17,-9.29,-0.11,1.23,0.15
4.27,0.27,-7.44,-0.07,1.67,0.13
6.63,-0.04,-5.92,-0.18,1.75,0.01
8.96,-0.08,-3.00,0.01,1.61,0.09
10.14,-0.03,-0.56,0.03,1.21,0.03
10.52,-0.81,1.28,-0.04,0.73,0.06
10.50,-0.49,2.15,0.00,0.21,-0.03
10.28,-0.56,2.44,-0.02,-0.05,-0.01
10.26,-0.56,2.25,-0.10,-0.07,0.00
10.13,-0.52,2.23,-0.17,-0.01,0.01
10.22,-0.57,2.10,-0.17,-0.02,0.00
10.15,-0.61,2.21,-0.15,0.00,-0.02
10.25,-0.57,2.25,-0.14,-0.04,-0.01
10.16,-0.68,2.16,-0.12,-0.01,-0.01
