Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.42,-0.69,3.37,-0.07,-0.29,-0.03
10.52,-0.82,2.43,-0.17,-1.29,0
9.79,-0.53,-0.91,-0.34,-1.43,0
9.64,-1.19,-5.71,-0.38,-1.76,-0.05
6.41,0.26,-5.69,-0.2,-1.48,-0.07
4.28,-0.23,-7.53,-0.21,-1.28,-0.09
1.88,-0.14,-7.89,-0.26,-1.28,-0.09
-1.54,0.15,-8.98,-0.31,-0.99,-0.03
-1.87,0.59,-8.64,-0.15,-0.09,0.08
-1.73,0.54,-9.62,-0.21,-0.07,0.06
-1.33,1.64,-8.45,-0.09,0.41,-0.03
0.43,0.84,-11.17,-0.17,0.21,-0.12
-0.29,1.13,-10.48,-0.16,-0.42,-0.22
-1.85,1.74,-9.41,-0.17,-0.45,-0.11
-2.27,0.96,-7.92,-0.49,-0.22,-0.12
-2.8,2.08,-8.83,-0.25,0.42,-0.06
-0.58,2.1,-7.66,-0.18,0.86,0.15
-0.08,1.89,-6.62,0.03,0.7,0.25
3.91,2.55,-10.92,0.1,1.28,0.43
5.68,1.74,-7.06,0.15,1.83,0.33
7.76,0.59,-3.73,0.29,1.94,0.29
9.44,-1.04,-0.35,0.41,1.48,0.06
9.91,-0.37,1.1,0.35,1.02,0
10.51,-0.71,2.35,0.09,0.44,-0.02
10.35,-0.54,2.8,-0.02,0.02,0
10.15,-0.56,2.89,-0.11,-0.11,0
10.06,-0.69,2.58,-0.15,-0.11,-0.01
