Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.17,-0.37,2.40,-0.11,-0.01,-0.01
10.24,-0.44,2.45,-0.11,-0.02,-0.02
10.20,-0.32,2.40,-0.09,-0.03,-0.02
10.28,-0.28,2.38,-0.05,-0.05,-0.02
10.30,-0.12,2.02,0.39,-0.29,0.07
9.75,-1.35,1.58,0.51,-0.38,0.05
10.47,-0.84,1.25,0.79,-0.13,0.07
11.66,0.22,0.42,0.21,-0.62,0.15
10.25,0.57,-1.01,0.11,-0.98,0.31
8.40,-2.30,-2.55,0.05,-1.51,0.73
6.72,-3.77,-5.64,-0.07,-1.38,0.60
4.19,-4.76,-6.73,-0.29,-0.89,0.49
2.63,-4.52,-7.60,-0.13,-0.63,0.44
1.61,-4.90,-7.93,-0.15,-0.49,0.24
0.84,-4.55,-8.49,-0.20,-0.26,0.04
0.62,-4.30,-8.37,-0.08,-0.06,0.01
0.50,-4.98,-8.61,0.01,0.27,-0.16
1.58,-4.80,-8.39,-0.02,0.77,-0.32
3.45,-4.24,-7.48,0.02,1.03,-0.44
5.50,-4.10,-5.94,-0.05,1.05,-0.49
7.62,-3.60,-4.39,-0.13,0.86,-0.51
8.35,-3.57,-3.32,-0.05,0.67,-0.53
9.20,-1.40,-1.87,-0.57,0.82,-0.48
10.07,-0.23,-0.77,-0.62,0.62,-0.26
10.21,-0.09,0.34,-0.37,0.63,-0.14
10.37,0.06,1.60,-0.58,0.57,-0.07
10.30,-0.17,2.46,-0.63,0.40,-0.01
10.26,0.02,2.76,-0.33,0.12,-0.07
10.19,-0.24,3.02,-0.11,0.01,0.01
9.96,-0.50,3.24,-0.13,-0.02,-0.01
