Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
8.20,-0.53,-3.97,-0.37,-1.67,-0.30
5.74,0.60,-6.76,-0.19,-1.75,-0.39
2.30,0.79,-7.90,-0.43,-1.61,-0.38
-1.25,2.57,-9.62,-0.08,-1.42,-0.35
-3.58,1.97,-9.32,-0.21,-0.86,-0.27
-4.05,2.36,-8.24,-0.17,-0.40,-0.18
-4.52,1.63,-7.10,-0.16,-0.11,0.01
-4.87,2.09,-8.29,-0.20,0.18,-0.08
-4.14,1.60,-8.14,0.14,0.23,0.02
-3.77,1.48,-9.29,-0.27,0.88,0.17
-0.91,1.41,-9.01,-0.32,1.92,0.34
3.58,2.42,-6.26,-0.67,2.45,0.80
8.01,2.07,-2.28,0.12,2.39,0.99
10.10,-0.29,-0.14,-0.11,1.54,0.65
10.55,-0.82,1.76,-0.01,0.81,0.28
10.02,-1.04,2.97,-0.03,0.46,0.01
9.83,-1.22,4.02,0.00,0.37,-0.08
10.22,-0.90,4.88,-0.10,-0.02,-0.02
9.67,-0.90,4.12,-0.08,-0.26,-0.03
9.78,-0.99,3.62,-0.10,-0.15,-0.02
9.97,-0.85,3.55,-0.20,-0.13,-0.03
10.00,-0.88,3.28,-0.13,-0.09,-0.13
10.11,-0.63,2.92,-0.24,-0.08,-0.04
10.07,-0.64,2.84,-0.17,-0.06,-0.04
10.02,-0.61,2.90,-0.11,-0.03,-0.04
10.13,-0.62,2.95,-0.11,0.01,-0.03
10.14,-0.54,2.93,-0.11,-0.01,-0.02
10.13,-0.59,3.01,-0.14,-0.03,-0.03
10.11,-0.66,2.91,-0.16,-0.05,-0.02
10.03,-0.51,2.87,-0.17,-0.06,0.00
