Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.3,-0.65,-2.27,-0.04,-1.34,-0.02
8.11,-0.8,-4.58,-0.26,-1.31,-0.05
6.34,-0.37,-6.47,-0.22,-1.43,-0.1
3.98,-0.22,-7.85,-0.1,-1.32,-0.05
1.51,-0.17,-8.87,-0.12,-1.17,-0.06
-0.57,-0.11,-9.55,-0.17,-0.74,-0.01
-1.2,0.06,-9.1,-0.14,-0.36,0.04
-1.97,0.09,-8.86,-0.05,-0.27,-0.02
-2.45,0.01,-8.82,-0.13,-0.13,-0.03
-2.6,0.1,-8.78,-0.16,-0.04,-0.03
-2.79,0.34,-8.71,-0.18,0.12,-0.01
-2.49,0.49,-9.99,-0.21,0.54,-0.09
0.46,0.62,-9.22,-0.05,1.28,0.03
3.34,0.02,-7.77,0,1.54,0.1
5.63,0.06,-6.63,0.03,1.46,0.09
7.53,-0.25,-5.27,-0.06,1.24,-0.03
8.92,-0.43,-3.21,-0.04,1.2,-0.03
10.01,-0.28,-0.97,-0.13,1.07,-0.03
10.07,-0.52,0.98,-0.18,0.85,0.02
10.76,-0.29,2.08,-0.12,0.36,-0.05
10.35,-0.24,2.09,-0.18,0.03,-0.02
10.11,-0.12,2.2,-0.15,0.08,0.03
10.13,-0.35,2.45,-0.1,0,0
10.19,-0.4,2.33,-0.1,-0.03,-0.02
10.19,-0.55,2.53,-0.12,-0.05,-0.02
10.17,-0.36,2.39,-0.12,-0.02,-0.01
10.15,-0.37,2.38,-0.13,-0.03,-0.02
10.17,-0.4,2.37,-0.13,-0.02,0
10.17,-0.43,2.24,-0.08,0,0
10.21,-0.6,2.29,-0.11,0.04,-0.06
