Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.41,-0.47,0.39,-0.13,-0.64,-0.06
9.92,-0.28,-1.25,-0.06,-1.07,-0.09
8.61,-0.46,-3.25,-0.12,-1.34,-0.12
7.67,-0.32,-5.86,-0.22,-1.23,-0.06
5.93,0.02,-6.98,-0.12,-1.1,0.02
3.46,-0.04,-7.91,-0.14,-1.16,-0.04
1.39,0.06,-8.77,-0.13,-0.93,-0.05
-0.42,0.23,-9.47,-0.09,-0.83,-0.02
-1.75,0.05,-9.29,-0.12,-0.55,-0.01
-2.46,0.03,-9.06,-0.14,-0.39,-0.09
-2.69,0.29,-8.4,-0.01,-0.28,-0.03
-3.47,-0.01,-8.44,-0.22,-0.12,-0.04
-3.06,-0.68,-8.42,-0.39,0.08,0.03
-3.06,-0.07,-8.37,-0.12,-0.02,0.01
-3.28,-0.3,-8.9,-0.11,0.16,0.05
-2.7,0.15,-9.17,-0.13,0.58,-0.02
-1.09,0.33,-9.45,-0.11,1.32,0.05
2.41,-0.17,-8.25,0.01,1.61,0.1
5.44,-0.35,-6.51,0.04,1.48,0.01
7.58,-0.61,-5.37,0.01,1.3,-0.11
9,0.09,-3.52,-0.03,1.17,-0.04
9.94,-0.47,-1.08,-0.06,1.04,0.04
10.43,-0.49,0.11,0.13,0.69,-0.01
10.33,-0.51,1.43,-0.04,0.2,-0.04
10.19,-0.64,1.53,-0.29,0.09,-0.05
10.17,-0.62,1.89,-0.12,0.02,-0.01
10.33,-0.51,1.84,-0.14,-0.07,-0.02
10.24,-0.52,1.61,-0.12,-0.07,-0.01
10.23,-0.67,1.36,-0.08,-0.06,0
10.28,-0.62,1.37,-0.11,-0.05,0.01
