Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.10,-0.55,2.68,-0.09,-0.04,-0.03
10.26,-0.51,2.76,-0.11,-0.07,-0.07
10.24,-0.32,2.45,-0.09,-0.16,-0.11
10.25,-0.09,2.21,-0.05,-0.25,-0.16
10.17,0.14,1.62,-0.03,-0.22,-0.13
10.36,0.46,1.23,0.00,-0.30,-0.11
10.22,0.57,0.52,-0.08,-0.46,-0.20
9.95,1.14,-0.44,-0.11,-0.78,-0.32
9.27,1.63,-2.13,-0.12,-1.02,-0.42
7.81,2.50,-3.96,-0.19,-0.97,-0.63
6.73,3.91,-5.49,-0.25,-0.80,-0.59
5.40,4.49,-6.19,-0.20,-0.59,-0.42
4.19,5.22,-6.53,-0.29,-0.48,-0.35
3.46,5.59,-6.79,-0.24,-0.39,-0.26
2.69,5.87,-7.10,-0.21,-0.25,-0.25
2.24,6.24,-6.89,-0.13,-0.07,-0.12
2.62,6.20,-6.68,-0.17,0.11,0.01
2.84,6.13,-6.22,-0.19,0.08,0.07
2.84,6.46,-6.44,-0.19,0.01,0.04
3.14,6.52,-6.68,-0.04,0.17,0.15
3.64,6.04,-6.14,-0.08,0.38,0.47
4.87,5.66,-5.89,0.01,0.38,0.56
6.11,4.37,-5.62,0.08,0.65,0.76
7.64,3.24,-4.43,0.20,0.81,0.66
9.09,1.53,-3.20,0.07,0.84,0.53
9.29,0.60,-1.56,-0.01,0.76,0.42
9.95,0.10,-0.30,-0.04,0.69,0.31
10.23,-0.23,0.79,-0.03,0.50,0.20
10.20,-0.63,1.78,-0.01,0.34,0.13
10.22,-0.94,2.38,-0.06,0.22,0.03
