Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.23,0.40,2.13,0.00,-0.09,-0.05
10.41,0.23,1.86,0.16,-0.23,0.01
10.53,0.17,1.18,0.16,-0.60,-0.11
10.33,0.14,-0.26,-0.24,-0.99,-0.23
9.31,1.79,-1.95,-0.09,-0.84,-0.42
8.49,1.51,-3.73,0.38,-0.93,-0.20
7.07,0.83,-5.65,0.05,-1.05,0.04
6.53,1.14,-7.08,0.14,-0.78,-0.15
4.82,0.80,-7.99,0.15,-0.79,-0.26
3.84,1.04,-8.67,0.03,-0.60,-0.20
2.85,0.62,-8.60,0.08,-0.47,-0.19
1.70,0.43,-9.33,-0.01,-0.32,-0.18
1.34,0.42,-9.28,-0.02,-0.10,-0.12
1.33,0.01,-9.15,-0.08,0.00,-0.06
1.23,0.20,-8.72,-0.12,-0.07,0.04
1.12,0.28,-9.46,-0.12,-0.02,-0.04
1.29,0.01,-9.00,-0.04,0.12,0.02
1.67,0.26,-9.26,-0.13,0.19,0.03
2.13,0.52,-9.03,-0.15,0.40,0.10
3.25,0.38,-8.77,-0.16,0.56,0.13
4.19,0.23,-7.88,-0.11,0.48,0.24
5.02,-0.06,-7.82,-0.09,0.48,0.20
6.04,-0.42,-7.15,-0.15,0.61,0.17
7.12,-0.28,-6.26,-0.28,0.90,0.03
8.03,0.00,-4.66,-0.51,0.99,-0.02
9.25,0.72,-2.57,-0.43,0.95,-0.03
9.82,0.88,-0.96,-0.32,0.70,0.01
10.31,0.76,-0.04,-0.30,0.41,0.06
10.07,0.55,0.48,-0.24,0.38,0.04
10.37,0.54,1.50,-0.31,0.23,0.01
