Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.10,-0.48,2.87,-0.10,-0.02,-0.01
10.09,-0.48,2.89,-0.09,-0.02,-0.01
10.09,-0.50,2.99,-0.08,-0.04,-0.01
10.14,-0.40,2.83,-0.05,-0.10,-0.03
10.22,-0.48,2.51,-0.02,-0.17,-0.05
10.21,-0.33,2.17,-0.07,-0.30,-0.09
10.42,-0.37,1.73,-0.06,-0.46,-0.16
10.24,0.40,0.56,-0.17,-0.80,-0.37
9.69,0.64,-1.20,-0.06,-1.12,-0.39
8.42,1.61,-3.20,0.00,-1.18,-0.42
7.31,2.50,-5.72,0.00,-1.04,-0.32
5.61,2.24,-7.03,0.05,-0.89,-0.19
4.47,2.19,-7.78,-0.19,-0.73,-0.19
3.15,3.16,-8.39,-0.21,-0.58,-0.30
2.04,3.22,-8.26,-0.15,-0.42,-0.22
1.09,3.00,-8.62,-0.20,-0.33,-0.18
0.45,3.31,-8.46,-0.07,-0.31,-0.15
0.18,3.68,-8.57,-0.07,-0.16,-0.06
-0.06,3.30,-8.47,-0.12,-0.03,0.02
-0.01,3.51,-8.50,-0.12,-0.02,0.02
-0.10,3.36,-8.58,-0.13,0.13,0.07
0.61,3.40,-8.66,-0.04,0.35,0.20
1.46,3.15,-8.46,0.04,0.45,0.27
2.75,2.51,-8.25,-0.02,0.55,0.28
3.90,2.54,-8.02,-0.05,0.75,0.28
5.51,1.85,-7.16,-0.03,0.84,0.25
6.91,1.54,-6.37,-0.07,0.86,0.24
8.26,0.99,-4.48,-0.07,1.06,0.30
9.27,0.56,-2.89,-0.06,0.96,0.23
9.90,-0.16,-1.27,-0.11,0.82,0.14
