Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.01,-1.28,3.27,-0.13,-0.05,-0.02
9.93,-1.38,3.22,-0.14,-0.04,-0.03
10.23,-1.24,3.24,-0.15,-0.13,-0.07
9.23,-1.00,2.33,-0.09,-0.75,-0.09
8.70,-1.61,0.64,-0.25,-0.68,0.00
10.71,-1.28,-0.19,-0.39,-0.17,-0.03
9.89,-0.88,-0.53,-0.10,-0.33,-0.06
9.45,-1.11,-0.73,-0.01,0.01,0.06
10.03,-1.03,-1.02,-0.06,-0.26,0.03
10.83,-1.11,-1.64,-0.02,-0.24,-0.02
11.24,-1.47,-1.89,0.07,-0.11,0.04
9.91,-1.44,-2.15,-0.01,-0.26,0.09
9.76,-1.72,-2.77,-0.10,-0.04,-0.03
9.63,-1.85,-2.49,-0.11,-0.04,0.00
10.74,-2.05,-2.66,-0.13,-0.06,0.00
9.72,-1.46,-2.40,-0.19,-0.10,-0.04
11.22,-1.34,-2.87,-0.17,-0.40,-0.02
8.43,-1.70,-3.32,-0.17,-0.45,0.03
9.27,-1.53,-4.55,-0.22,-0.44,0.02
7.92,-1.32,-5.11,-0.18,-0.09,-0.01
8.14,-1.19,-4.58,-0.04,0.33,-0.03
7.96,-0.92,-3.39,0.02,0.80,-0.06
9.15,-1.66,-1.07,-0.07,1.00,-0.07
9.34,-1.12,0.32,-0.01,1.03,0.00
10.23,-1.02,2.19,-0.02,0.60,-0.03
10.35,-1.25,2.78,-0.11,0.19,-0.04
10.09,-1.2,2.91,-0.11,0.01,0.02
10.05,-1.27,2.94,-0.06,-0.03,-0.01
10.11,-1.3,2.96,-0.09,-0.03,-0.02
10.05,-1.27,2.88,-0.11,0.02,-0.04
