Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
8.56,-0.37,-3.26,0.04,-0.78,0.02
9.00,-0.50,-4.59,-0.12,-0.42,0.01
8.67,-0.04,-5.59,-0.13,-0.24,-0.02
8.28,-0.16,-5.70,-0.13,0.20,0.00
9.47,0.08,-5.31,-0.23,0.11,-0.06
8.65,-0.18,-5.03,-0.09,0.14,0.05
9.29,-0.19,-4.64,-0.16,0.15,0.01
8.98,0.17,-4.49,-0.08,0.03,-0.03
8.77,-0.03,-4.17,-0.13,0.06,-0.02
9.18,-0.03,-4.13,-0.12,0.05,0.00
9.73,0.11,-4.31,-0.02,0.02,-0.07
10.69,0.08,-4.66,-0.09,-0.08,0.02
8.80,-0.27,-4.20,-0.03,-0.06,0.03
9.64,-0.08,-4.57,0.03,0.16,-0.07
8.88,-0.68,-3.75,-0.06,0.44,-0.03
8.69,-0.12,-2.41,-0.18,0.67,-0.05
8.57,-0.26,-0.66,-0.23,0.85,-0.03
9.62,-0.17,0.61,-0.11,0.68,-0.06
10.49,0.07,2.31,-0.06,0.36,0.04
10.26,-0.19,2.36,-0.11,-0.02,-0.08
10.33,-0.06,2.17,0.00,0.09,0.01
10.25,0.05,2.22,-0.13,-0.05,-0.04
10.33,-0.11,2.12,-0.12,-0.03,0.02
10.24,-0.07,2.11,-0.13,-0.03,-0.01
10.21,-0.14,2.09,-0.12,-0.03,-0.03
10.24,-0.05,2.09,-0.13,-0.04,-0.02
10.23,-0.05,2.01,-0.12,-0.02,-0.02
10.25,-0.02,1.99,-0.12,0.00,-0.02
10.20,-0.08,2.01,-0.11,0.00,-0.02
