Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.16,-0.05,2.55,-0.12,-0.02,-0.02
10.22,0.00,2.61,-0.11,-0.07,-0.02
10.12,0.12,2.25,-0.08,-0.27,0.01
10.15,-0.30,1.70,0.01,-0.30,0.04
10.34,-0.19,0.96,-0.03,-0.44,-0.02
9.93,-0.18,0.06,0.01,-0.71,-0.03
9.12,-0.18,-1.38,-0.01,-0.75,-0.01
9.14,-0.52,-2.86,-0.19,-0.74,-0.01
8.43,-0.28,-3.71,-0.27,-0.50,-0.03
8.71,0.05,-5.03,-0.07,-0.31,0.02
8.43,-0.02,-5.12,-0.14,-0.02,0.00
8.31,0.23,-5.40,-0.15,0.11,-0.07
8.51,-0.48,-5.17,-0.07,0.26,0.05
9.67,0.14,-4.99,-0.20,0.26,0.00
9.51,0.03,-4.05,-0.10,0.12,-0.01
9.40,-0.13,-3.76,-0.08,0.05,-0.02
9.13,-0.01,-3.47,-0.17,-0.01,-0.04
9.29,0.33,-3.52,-0.20,0.02,-0.06
9.70,0.42,-3.64,-0.03,0.00,-0.02
8.63,0.16,-3.70,-0.12,-0.19,-0.01
9.42,0.16,-4.21,0.00,0.13,0.13
10.90,-0.19,-3.98,-0.03,0.11,0.03
9.32,0.18,-3.20,-0.11,0.17,-0.06
9.97,-0.07,-2.73,-0.05,0.36,-0.06
9.41,-0.11,-1.47,-0.19,0.61,-0.12
8.03,-0.06,0.65,-0.15,0.81,-0.02
9.30,0.37,1.07,-0.03,0.48,0.00
10.26,-0.39,1.76,-0.12,0.23,-0.03
10.12,-0.18,1.97,-0.16,0.08,0.01
10.18,-0.07,1.95,-0.15,-0.01,0.00
