Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10,-0.35,3.22,-0.1,0,-0.01
10.06,-0.21,3.35,-0.11,-0.01,-0.05
6.89,0.09,2.43,-0.44,-0.22,-0.16
9.09,0.12,2.53,-0.36,-0.26,-0.08
9.54,-0.06,2.5,-0.07,-0.43,-0.06
9.8,0.46,1.35,-0.11,-0.47,-0.11
11.26,-0.05,0,0.02,-0.34,-0.04
11.16,0.14,-0.74,-0.03,-0.34,0.08
11.06,-0.8,-1.12,0.12,-0.13,0.05
10.75,-0.14,-0.99,-0.17,0.09,0.03
10.07,-0.19,-0.53,-0.17,0.09,-0.03
11.82,-0.27,-0.64,-0.14,-0.07,0.01
11.57,0.01,-1.09,-0.13,-0.96,0.05
9.64,-0.76,-3.68,-0.08,-1.2,0.15
5.99,-0.53,-4.33,-0.14,-1.08,0.13
5.14,-0.73,-6.33,-0.25,-0.5,0.07
7.15,-0.97,-7.68,-0.3,0.75,-0.08
7.71,-0.33,-4.24,-0.02,1.44,-0.02
8.75,-0.89,-1.6,0.15,1.6,-0.11
9.78,-0.69,1.01,-0.15,1.18,-0.16
9.74,-0.03,2.87,-0.21,0.68,-0.05
10.2,-0.51,3.88,0.12,0.35,-0.04
10.05,-0.19,3.86,-0.08,0.01,-0.01
9.89,-0.1,3.6,-0.13,-0.06,0
9.87,-0.04,3.74,-0.12,-0.04,-0.02
9.78,-0.06,3.74,-0.13,0,-0.02
9.95,-0.12,3.64,-0.14,-0.03,-0.04
