Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.27,0.03,2.67,-0.12,0.00,-0.01
10.16,0.22,2.29,-0.18,-0.34,-0.06
9.73,-0.20,1.19,-0.03,-0.71,0.04
9.58,0.09,-0.18,-0.09,-0.76,-0.04
9.55,0.01,-1.53,-0.07,-0.62,-0.02
9.46,-0.41,-2.64,-0.09,-0.52,0.03
9.03,0.08,-3.13,-0.24,-0.41,-0.03
8.93,0.18,-3.87,-0.07,-0.24,-0.07
8.69,-0.12,-4.19,-0.10,-0.10,0.02
8.59,0.17,-4.37,-0.11,0.22,-0.03
10.10,0.31,-3.84,-0.08,0.35,0.05
10.12,0.20,-3.35,-0.33,0.00,-0.07
9.43,0.38,-3.10,-0.13,0.04,-0.02
9.79,0.39,-3.25,0.13,-0.04,-0.04
9.16,0.00,-3.28,-0.05,-0.06,-0.03
9.48,0.18,-3.50,-0.14,-0.07,-0.06
10.64,0.28,-3.82,-0.13,-0.10,-0.05
10.18,0.00,-4.14,-0.12,-0.06,-0.02
10.00,-0.05,-3.92,-0.15,0.23,0.05
9.60,0.17,-3.13,-0.16,0.40,-0.03
7.77,0.41,-1.70,-0.02,0.81,-0.06
9.27,0.13,0.17,-0.22,0.91,0.02
9.53,0.50,1.36,-0.15,0.53,-0.05
9.86,0.05,2.11,-0.08,-0.12,0.05
10.40,0.06,2.04,-0.06,-0.15,-0.04
10.48,-0.02,1.60,-0.02,-0.01,0.01
10.24,0.26,1.74,-0.15,0.03,-0.03
10.19,0.00,1.72,-0.07,0.03,-0.04
10.21,0.23,1.89,-0.14,0.01,0.00
10.23,0.21,1.90,-0.12,-0.03,0.00
