Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.95,-0.49,3.05,-0.39,0.03,-0.05
10.05,0.03,3.03,-0.42,-0.05,-0.09
10.14,0.6,2.86,-0.19,-0.13,-0.09
10.24,-0.98,2.63,0.09,-0.31,0.19
7.99,-1.35,1.36,-0.51,-0.86,0.03
9.6,0.08,0.17,-0.21,0.06,0.02
10.29,-0.46,0.78,-0.05,-0.18,-0.08
10.03,-0.58,0.17,-0.29,-0.39,-0.09
10.67,0.15,-0.67,-0.08,-0.06,-0.04
11.15,0.09,-1.18,-0.08,-0.08,-0.11
11.28,0.2,-1.07,-0.12,-0.12,-0.05
10.69,-0.12,-1.02,-0.13,0.06,0.05
10.7,-0.02,-0.78,-0.1,0,0
11.64,-0.15,-1.5,-0.15,-0.8,0.08
9.35,0,-3.49,-0.13,-1.32,0
6.74,-0.44,-4.85,-0.1,-1,-0.05
7.27,-0.21,-7.36,-0.11,-0.44,-0.07
6.82,-0.3,-7.18,-0.25,0.37,0.03
7.97,-0.19,-5.32,-0.1,1.07,0.05
8.51,-0.51,-3.26,-0.07,1.34,0.12
9.11,-0.56,-0.66,0.1,1.11,0.05
9.67,-0.53,1.27,0.07,0.65,-0.04
10.21,-0.64,2.07,-0.13,0.26,-0.13
10.27,-0.33,2.37,-0.18,0.08,-0.06
10.34,-0.34,2.35,-0.09,-0.02,-0.03
10.2,-0.31,2.25,-0.05,0,-0.04
