Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.18,0.07,2.60,-0.10,-0.05,-0.02
10.18,0.08,2.35,-0.07,-0.08,-0.02
10.38,0.00,2.16,-0.01,-0.20,-0.01
10.15,0.07,1.76,-0.14,-0.33,-0.01
10.18,0.00,0.68,0.11,-0.44,0.05
10.03,-0.01,0.09,-0.06,-0.38,-0.08
9.83,-0.06,-0.49,-0.17,-0.51,-0.05
9.48,-0.09,-1.39,-0.17,-0.60,0.02
8.91,-0.01,-2.72,-0.24,-0.63,0.03
8.55,0.02,-3.93,-0.21,-0.49,0.02
8.44,0.14,-4.34,-0.08,-0.29,-0.04
8.08,-0.13,-4.43,-0.11,-0.11,0.02
8.59,-0.02,-4.75,-0.11,-0.09,-0.04
8.19,0.21,-5.39,-0.16,-0.02,-0.08
8.79,0.31,-5.48,-0.18,0.03,-0.04
9.21,0.38,-5.50,-0.19,-0.06,0.02
8.48,0.66,-5.43,-0.14,-0.11,-0.09
7.84,0.39,-5.21,-0.04,0.02,-0.01
9.02,0.67,-5.77,-0.15,0.09,-0.04
9.87,0.23,-5.13,-0.11,0.24,0.12
9.32,0.39,-5.17,-0.11,0.15,0.04
9.46,-0.02,-4.56,-0.05,0.38,-0.01
8.00,-0.06,-2.42,-0.20,0.99,0.01
8.55,0.02,-0.17,-0.17,1.23,-0.01
9.85,-0.06,1.51,-0.16,0.74,-0.02
10.81,-0.01,3.00,-0.08,0.23,0.01
10.12,0.15,2.62,-0.04,0.05,-0.04
10.21,-0.05,2.51,-0.08,-0.05,-0.02
10.07,0.15,2.52,-0.04,-0.06,-0.02
