Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.69,-0.94,0.41,-0.44,-0.15,-0.11
10.12,-0.85,0.44,-0.11,-0.24,-0.03
9.68,-0.97,0.06,0.01,-0.32,0.05
10.05,-1.24,-0.82,-0.03,-0.30,0.03
9.54,-1.34,-1.76,-0.10,-0.26,0.00
10.61,-1.60,-2.16,-0.17,-0.19,0.01
10.01,-1.02,-2.48,-0.09,-0.19,-0.02
10.38,-1.33,-2.89,-0.07,-0.28,-0.01
9.43,-1.22,-2.90,-0.15,-0.21,-0.01
9.85,-1.34,-3.15,-0.12,-0.18,0.04
8.76,-1.19,-4.33,-0.03,-0.12,0.00
8.73,-1.72,-4.05,-0.12,-0.11,-0.04
9.39,-1.70,-4.33,-0.01,0.16,-0.05
11.06,-1.86,-3.88,-0.18,-0.26,0.03
8.60,-1.32,-4.16,-0.24,-0.39,0.03
8.70,-1.48,-4.76,-0.27,-0.47,-0.01
6.92,-1.47,-5.26,-0.17,-0.63,-0.03
5.85,-1.29,-6.26,-0.20,-0.45,0.02
5.86,-0.87,-6.79,-0.15,-0.25,0.02
6.62,-0.93,-7.05,-0.03,0.38,-0.02
7.11,-1.28,-6.02,-0.01,0.86,-0.04
8.12,-0.95,-4.48,0.00,1.07,-0.04
9.01,-1.16,-2.05,0.01,1.15,-0.04
9.93,-1.49,-0.11,0.01,1.05,0.01
10.08,-1.22,1.44,-0.17,0.69,-0.04
