Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.91,-0.44,3.36,-0.16,-0.05,-0.05
10.13,-0.13,3.47,-0.04,-0.1,-0.02
10.57,-0.87,2.75,-0.1,-0.4,-0.12
6.96,0.22,1.3,-0.15,-0.98,-0.09
9.28,-0.18,0.49,0.08,-0.39,0.08
9.84,-0.33,0.07,-0.11,-0.31,-0.06
10.28,0.15,-0.58,-0.05,-0.03,-0.05
9.65,0.19,-0.54,-0.16,-0.13,-0.14
11.11,0.35,-1.73,-0.23,-0.42,-0.13
10.19,0.56,-2.19,-0.18,-0.16,-0.07
10.88,0.57,-2.48,-0.19,-0.08,0.03
10.2,0,-2.07,-0.03,0.02,0.12
11.49,-0.31,-2.64,-0.1,-0.15,0.05
9.57,-0.23,-3.17,-0.01,-1.03,0.04
7.77,-0.45,-4.72,-0.16,-1.01,0.07
6.21,-0.27,-6.23,-0.13,-0.76,0.11
6.07,-0.09,-7.68,-0.04,-0.19,0
6.18,-0.41,-7.8,-0.12,0.27,-0.04
7.1,-0.61,-6.88,-0.09,0.83,-0.03
7.67,-0.76,-3.98,0.02,1.23,-0.03
8.96,-0.95,-2.03,-0.09,1.26,-0.06
9.54,-0.34,0.22,-0.06,1.25,-0.06
9.84,-0.51,2.39,-0.09,0.72,0
10.24,-0.54,3.2,-0.03,0.24,-0.01
10.2,-0.47,3.33,-0.06,0.03,0
10.04,-0.47,3.45,-0.06,-0.02,-0.01
