Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.24,-0.66,3.46,-0.15,-0.25,-0.07
9.88,-0.46,2.36,-0.29,-0.88,-0.08
10.10,-0.78,0.86,-0.20,-0.79,0.00
7.51,-1.07,-1.17,0.03,-0.84,0.02
9.12,-0.60,-1.49,-0.37,-0.05,-0.06
9.46,-0.29,-1.62,-0.13,-0.03,-0.06
10.81,-1.08,-1.67,-0.22,0.02,-0.02
10.26,-0.57,-1.89,-0.11,0.26,0.07
10.66,-1.05,-1.47,-0.07,-0.08,0.05
10.75,-1.05,-1.57,0.14,-0.09,0.04
10.79,-1.02,-1.65,-0.09,-0.12,-0.01
9.97,-1.24,-1.83,0.17,-0.05,0.00
9.54,-1.45,-1.97,0.00,-0.03,0.01
9.90,-1.55,-1.82,-0.15,0.08,-0.02
11.93,-1.61,-2.03,-0.24,-0.15,-0.01
11.41,-1.41,-3.12,-0.24,-0.79,0.05
7.59,-0.80,-3.33,-0.29,-1.11,0.04
6.99,-1.09,-5.65,-0.21,-0.86,-0.02
6.40,-0.95,-7.39,-0.19,-0.29,0.01
6.11,-0.55,-6.92,-0.15,0.33,-0.01
7.19,-0.50,-5.68,-0.03,0.82,-0.04
8.01,-1.15,-3.86,-0.08,1.04,0.02
9.05,-0.77,-2.03,0.00,1.15,0.00
9.56,-1.02,0.36,0.02,1.06,-0.03
10.51,-1.00,1.61,-0.06,0.72,-0.06
10.23,-0.64,2.59,0.08,0.35,0.04
10.19,-0.83,2.77,-0.10,-0.05,-0.07
10.03,-0.83,3.05,-0.03,-0.04,-0.05
10.00,-0.85,2.74,-0.09,-0.02,0.00
9.98,-0.76,2.95,-0.11,-0.01,-0.01
