Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.12,-0.41,2.72,-0.11,0.01,-0.03
10.26,-0.17,2.85,-0.12,-0.11,-0.04
10.32,-0.45,2.52,-0.04,-0.59,-0.01
7.97,-0.73,0.52,-0.08,-0.44,0.06
9.49,-0.25,0.74,-0.23,0.23,-0.08
10.06,-0.27,1.54,-0.17,-0.4,-0.01
9.62,0.33,0.3,-0.22,-0.25,-0.14
10.17,0.11,-0.66,-0.17,-0.37,-0.11
10.81,0.42,-1.45,-0.2,-0.22,-0.02
11.29,0.02,-1.88,0.04,0,0
10.43,-0.37,-1.43,-0.11,0.02,-0.04
10.08,0.28,-1.7,-0.17,-0.06,-0.05
12.33,0.13,-2.85,-0.15,-0.89,-0.02
9.34,0.23,-3.99,-0.13,-1.18,0.01
6.73,0.14,-5.29,-0.1,-1.06,0.01
5.68,-0.06,-7.07,-0.04,-0.72,0
5.06,-0.04,-8.26,-0.06,-0.23,-0.01
5.82,0,-7.99,-0.03,0.59,-0.04
7.1,-0.31,-6.15,0.02,1.16,0.01
8.37,-0.62,-3.6,-0.07,1.3,0.01
8.77,-0.75,-1.59,-0.05,1.03,-0.07
9.59,-0.3,-0.04,-0.13,1.01,-0.08
10.69,-0.57,1.26,0.16,0.57,-0.07
10.36,-0.33,2.4,-0.03,0.25,-0.1
10.21,-0.16,2.81,-0.19,-0.03,-0.07
10.06,-0.16,2.52,-0.24,0.02,-0.05
