Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.16,-1.07,2.92,-0.10,-0.16,-0.03
10.25,-1.28,2.55,-0.15,-0.29,-0.02
10.12,-1.18,0.97,-0.18,-0.39,0.00
8.93,-1.19,1.47,-0.36,-0.08,-0.09
9.63,-1.02,1.38,-0.09,-0.21,-0.02
10.02,-0.84,1.14,-0.22,-0.34,0.00
10.03,-1.09,0.24,-0.09,-0.45,-0.03
9.83,-1.11,-1.52,-0.05,-0.32,0.02
10.02,-0.88,-1.52,-0.16,-0.24,0.00
11.02,-1.02,-2.03,-0.06,-0.06,-0.01
9.97,-1.20,-2.10,-0.01,-0.33,-0.04
9.87,-0.91,-2.28,-0.14,-0.07,-0.04
9.91,-1.50,-2.61,0.03,-0.02,0.07
10.22,-1.50,-2.44,-0.10,0.05,0.03
10.25,-1.37,-2.31,-0.12,-0.27,0.03
9.64,-1.33,-3.02,-0.19,-0.36,0.08
9.50,-1.44,-3.21,-0.22,-0.38,0.00
7.91,-1.77,-3.61,-0.12,-0.44,0.01
8.99,-1.26,-5.90,-0.11,-0.77,-0.02
7.71,-1.85,-6.28,-0.03,-0.06,0.20
7.31,-1.36,-6.12,-0.26,-0.11,0.10
7.11,-1.10,-6.25,-0.23,-0.01,-0.03
6.86,-0.95,-5.97,0.06,0.66,-0.12
8.13,-1.03,-4.10,0.19,0.95,-0.12
9.18,-1.76,-1.62,0.11,1.34,-0.07
9.72,-2.07,1.06,-0.38,1.32,-0.09
10.84,-1.5,3.19,-1.25,0.18,0.24
10.05,-1.78,1.88,-0.8,-0.07,0.21
10,-2.43,1.88,-0.02,0,-0.02
9.94,-2.08,1.94,0.11,-0.03,-0.14
