Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.26,-1.22,1.77,-0.28,-0.91,-0.07
9.51,-1.29,-0.80,-0.12,-0.86,-0.01
6.69,-0.89,-0.92,-0.49,-0.06,-0.05
9.43,-0.85,-0.69,-0.05,0.13,0.04
10.39,-0.86,-0.95,-0.04,0.06,0.04
9.85,-1.39,-1.09,-0.05,-0.16,0.06
10.38,-1.47,-1.60,-0.08,-0.34,-0.09
10.89,-1.49,-2.18,-0.10,-0.08,-0.02
10.64,-1.07,-2.34,-0.11,0.08,-0.01
9.80,-1.46,-2.35,0.08,0.02,0.02
10.16,-1.91,-1.96,0.11,0.08,-0.06
11.52,-1.97,-2.13,0.04,-0.02,-0.04
10.33,-1.86,-1.81,-0.10,-0.32,0.03
10.44,-1.43,-2.09,-0.40,-0.36,0.02
8.06,-1.34,-2.25,-0.38,-0.70,-0.02
9.60,-1.48,-5.53,-0.27,-0.49,-0.02
7.63,-0.88,-4.92,-0.22,-0.32,0.06
7.13,-0.77,-6.08,-0.15,-0.20,0.03
6.83,-0.90,-5.07,-0.03,0.53,-0.01
8.71,-1.35,-3.74,0.02,0.92,-0.05
9.36,-1.15,-1.89,-0.05,1.02,-0.02
9.87,-1.50,-0.04,0.01,0.97,0.02
10.18,-1.33,1.50,0.10,0.71,-0.05
9.90,-1.01,2.56,0.06,0.43,-0.05
10.27,-1.17,3.34,-0.15,0.00,-0.17
10.32,-0.63,2.75,0.02,-0.06,-0.05
10.09,-1.07,3.01,-0.04,-0.03,0.04
10.05,-0.96,2.92,-0.11,-0.09,0.03
10.07,-1.06,2.72,-0.17,-0.05,-0.01
10.08,-1.1,2.77,-0.16,-0.03,-0.02
