Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.93,-1.43,3.39,-0.08,-0.09,-0.02
10.08,-1.38,3.01,-0.11,-0.07,-0.01
10.33,-1.36,2.79,-0.13,-0.69,-0.15
9.37,-1.18,0.94,-0.19,-0.77,-0.07
9.94,-1.35,-0.54,-0.38,-0.60,0.00
8.09,-0.60,-1.10,-0.14,-0.56,0.00
9.47,-1.19,-2.53,-0.06,-0.52,0.00
9.17,-0.86,-3.14,-0.05,-0.23,-0.04
9.53,-0.76,-3.65,-0.07,-0.16,-0.08
9.47,-1.27,-4.43,0.01,-0.01,0.02
9.92,-1.08,-4.60,0.11,-0.06,-0.03
8.98,-1.05,-4.79,0.11,0.00,-0.02
9.34,-1.77,-3.86,-0.22,0.23,-0.06
9.63,-1.09,-2.65,-0.26,0.42,-0.08
10.04,-1.06,-2.52,0.04,-0.02,0.07
9.49,-1.15,-1.83,-0.23,-0.21,-0.05
9.16,-1.28,-2.94,0.06,-0.34,-0.05
12.18,-1.23,-4.48,0.03,-0.23,-0.15
9.26,-0.82,-4.54,-0.29,-0.47,0.02
9.06,-0.89,-4.90,-0.09,-0.02,0.12
8.43,-0.96,-5.15,-0.20,-0.02,0.06
8.17,-1.13,-3.91,-0.11,0.31,0.06
8.28,-1.06,-3.20,-0.02,0.50,0.00
8.47,-1.02,-2.05,0.10,0.83,-0.03
9.35,-1.45,0.03,0.11,0.99,-0.02
10.26,-1.68,1.35,-0.22,0.67,-0.08
10.35,-1.59,2.62,-0.16,0.25,-0.05
10.27,-1.25,2.39,-0.12,-0.07,-0.05
10.02,-1.19,2.42,-0.1,0.01,-0.03
10.09,-1.24,2.43,-0.02,-0.02,-0.02
