Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
8.12,-0.71,1.23,0.00,-0.69,-0.04
9.61,-0.87,0.14,-0.34,-0.27,-0.03
9.87,-0.61,0.46,-0.32,-0.30,-0.03
10.07,0.17,0.93,-0.07,-0.17,0.01
10.20,-0.61,0.00,-0.23,-0.18,-0.10
10.64,-0.54,-0.85,-0.10,-0.15,0.00
10.42,-0.72,-1.13,-0.10,-0.12,-0.03
10.54,-0.63,-0.88,-0.19,0.06,0.00
10.55,-0.20,-0.33,-0.28,-0.04,0.01
10.43,-0.46,-0.92,-0.19,-0.02,-0.02
11.23,-0.57,-1.41,-0.06,-0.08,0.00
10.87,-1.06,-1.90,-0.02,-0.96,0.03
8.94,-1.53,-3.64,-0.19,-1.06,0.15
6.85,-0.80,-4.83,-0.23,-1.05,0.06
5.70,-0.92,-6.32,-0.15,-0.67,-0.01
5.83,-0.85,-8.07,-0.15,-0.06,-0.02
6.30,-0.81,-7.42,-0.16,0.78,-0.02
7.15,-0.75,-4.88,0.06,1.31,-0.03
8.43,-0.97,-2.41,0.01,1.43,-0.01
9.67,-0.77,-0.03,0.06,1.15,0.01
10.48,-1.02,1.80,0.00,0.55,-0.03
10.29,-0.97,2.32,-0.11,0.26,-0.06
10.41,-0.72,2.47,-0.10,0.00,-0.02
10.08,-1.02,2.52,-0.10,0.00,-0.02
10.17,-0.96,2.70,-0.11,-0.02,-0.01
10.18,-0.91,2.58,-0.12,-0.03,-0.02
10.22,-0.90,2.69,-0.11,-0.01,-0.02
10.10,-0.84,2.69,-0.10,0.01,-0.01
10.17,-0.95,2.64,-0.12,0.01,-0.03
10.15,-0.86,2.61,-0.12,0.00,-0.04
