Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.48,-0.53,0.80,-0.05,-1.01,-0.07
8.35,-0.95,-0.33,-0.21,-0.38,0.01
9.25,-0.92,-0.77,-0.33,0.01,-0.01
10.73,-0.79,-0.17,-0.19,0.09,0.00
9.44,-0.65,-1.11,0.11,-0.14,-0.09
9.84,-0.30,-0.67,-0.08,-0.20,-0.08
10.31,-0.57,-1.48,-0.01,-0.21,-0.01
10.27,-0.49,-1.94,-0.07,-0.02,0.03
10.22,-0.77,-1.78,-0.06,-0.08,0.02
10.48,-0.62,-1.81,-0.23,0.01,0.04
10.15,-0.71,-1.72,-0.03,0.04,-0.03
9.94,-0.61,-1.70,-0.08,0.12,-0.05
10.81,-0.95,-1.45,-0.18,-0.03,-0.01
11.03,-0.73,-2.09,-0.26,-0.55,-0.01
9.62,-0.43,-3.17,-0.18,-0.98,0.04
7.67,-0.79,-4.97,-0.10,-0.99,-0.02
7.39,-0.89,-5.51,-0.21,-0.52,0.00
4.90,-0.60,-6.77,-0.06,-0.57,-0.08
6.15,-0.29,-7.41,-0.03,0.73,0.01
8.05,-0.86,-4.54,0.00,1.61,0.04
9.42,-0.48,-1.60,-0.02,1.42,0.03
9.80,-1.13,0.87,0.08,1.09,-0.02
10.30,-1.10,1.98,-0.04,0.72,-0.06
9.79,-1.20,2.73,-0.12,0.31,-0.05
9.99,-0.97,3.34,-0.05,-0.02,-0.02
10.01,-0.76,3.12,-0.11,0.00,0.00
10.06,-0.90,3.23,-0.07,-0.02,-0.02
10.03,-0.88,3.21,-0.13,-0.01,-0.01
10.07,-0.93,3.30,-0.11,-0.01,0.00
9.96,-0.81,3.26,-0.13,0.00,-0.03
