Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.15,-0.11,2.66,-0.12,-0.11,-0.01
10.28,-0.15,2.25,-0.04,-0.17,0.00
10.13,0.02,1.72,-0.10,-0.33,-0.07
10.25,-0.29,1.35,-0.03,-0.31,0.05
9.94,-0.30,0.25,-0.20,-0.47,-0.04
9.55,-0.04,-0.27,-0.20,-0.58,-0.09
9.51,0.23,-1.45,-0.01,-0.53,-0.04
9.22,0.10,-2.47,-0.02,-0.49,-0.01
8.95,-0.32,-3.38,-0.03,-0.47,-0.01
8.59,-0.33,-4.16,-0.09,-0.35,0.05
8.41,-0.39,-4.63,-0.18,-0.17,0.08
8.40,-0.34,-5.22,-0.24,-0.23,-0.01
8.04,-0.77,-5.51,-0.23,-0.04,0.01
8.19,0.38,-5.18,-0.32,0.15,-0.14
9.56,0.58,-4.84,-0.11,0.27,-0.04
9.61,0.32,-4.49,-0.18,0.10,0.00
9.01,0.24,-4.36,-0.08,-0.07,0.00
8.59,0.32,-4.70,-0.08,-0.07,-0.03
8.88,0.20,-4.92,-0.01,-0.06,-0.07
9.75,0.51,-5.22,-0.18,0.14,-0.10
8.82,0.41,-4.69,0.05,0.04,-0.04
10.01,-0.18,-4.46,0.00,0.24,0.16
9.98,-0.30,-4.59,-0.23,0.30,0.13
8.93,0.12,-2.53,-0.17,0.74,0.06
8.40,-0.40,-0.04,-0.23,1.04,-0.07
8.61,-0.42,1.10,-0.05,0.69,0.00
9.87,-0.06,2.32,-0.08,0.28,-0.09
10.30,0.11,2.62,-0.02,0.15,-0.03
9.82,0.03,2.67,-0.14,0.02,-0.06
10.14,-0.25,2.30,-0.14,-0.13,-0.02
