Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.05,-0.28,3.24,-0.05,-0.03,-0.02
10.08,-0.37,3.1,-0.09,-0.03,0
10.38,-0.19,3.24,-0.1,-0.22,-0.01
7.96,-0.16,1.72,-0.03,-0.79,0.06
9.17,-0.94,0.67,-0.21,-0.13,-0.01
9.89,-0.23,1.08,-0.15,-0.23,-0.17
9.81,0.3,0.58,-0.41,-0.44,-0.25
10.03,0,-0.23,-0.14,-0.4,-0.06
12,-0.12,-1.43,-0.17,-0.34,0.09
11.19,0.25,-2.46,0.04,-0.2,-0.05
11.01,-0.47,-2.3,-0.04,0.12,0.06
11.25,-0.17,-2.42,-0.11,0,-0.01
10.31,-0.2,-2.31,-0.18,-0.74,0
9.42,-0.34,-4.08,-0.03,-0.93,0.12
7.11,-0.47,-5.24,-0.01,-0.64,0.07
6.74,-0.53,-5.67,-0.13,-0.38,0.03
5.82,-0.63,-6.61,-0.19,-0.48,0.01
6.44,-0.83,-7.22,-0.19,0.53,-0.03
7.55,-0.81,-5.38,-0.12,1.27,-0.06
8.7,-0.72,-2.28,-0.13,1.51,-0.1
9.86,0,0.25,-0.18,1.26,-0.01
9.82,-0.37,1.68,0,0.62,0.01
10.42,-0.27,2.56,-0.09,0.35,-0.01
10.19,-0.3,3.55,-0.01,0.15,-0.02
10.17,-0.38,3.68,0.09,-0.02,0.02
10.11,-0.57,3.35,-0.09,-0.18,-0.02
