Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.27,-0.11,2.51,-0.10,-0.05,-0.01
10.20,-0.14,2.18,-0.10,-0.11,0.00
10.44,0.01,2.15,-0.11,-0.32,-0.02
10.10,-0.19,0.65,-0.20,-0.58,-0.03
10.07,-0.04,-0.23,0.07,-0.61,0.07
9.47,-0.35,-1.18,-0.15,-0.67,-0.01
9.07,-0.14,-2.67,-0.17,-0.78,-0.08
8.62,-0.18,-3.81,-0.06,-0.73,-0.10
7.90,-0.20,-4.51,-0.01,-0.52,-0.05
7.45,-0.07,-6.08,-0.09,-0.37,-0.01
7.13,0.40,-6.08,-0.19,-0.03,-0.04
7.56,-0.08,-6.49,-0.28,0.06,-0.04
7.93,0.47,-5.67,-0.21,0.29,-0.03
8.85,0.64,-5.62,-0.11,0.17,-0.04
8.63,0.27,-5.66,-0.01,0.00,-0.02
8.03,0.46,-5.27,-0.09,0.00,0.00
8.54,0.18,-5.36,-0.09,-0.02,-0.03
10.52,0.91,-6.56,-0.12,0.11,0.02
9.01,0.33,-5.84,-0.03,0.09,0.05
9.20,0.43,-5.08,-0.06,0.63,-0.02
7.50,0.27,-1.92,-0.15,1.27,-0.03
8.71,0.73,0.38,-0.22,1.18,0.12
9.00,-0.50,2.26,0.16,0.68,-0.04
10.46,0.60,2.63,0.02,0.32,-0.03
9.72,-0.25,2.62,-0.17,-0.11,0.03
10.17,0.00,2.43,-0.01,0.02,-0.04
10.32,-0.14,2.38,-0.10,-0.03,-0.01
9.96,-0.05,2.35,-0.22,-0.05,-0.03
10.47,-0.15,2.40,-0.15,-0.13,-0.01
