Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.17,0.01,2.55,-0.12,-0.01,-0.02
10.15,0.05,2.49,-0.09,-0.01,-0.01
10.11,0.02,2.56,-0.11,-0.01,-0.02
10.24,0.07,2.66,-0.11,-0.03,-0.02
10.21,0.16,2.43,0.00,-0.27,0.00
9.88,0.00,1.42,0.03,-0.51,0.01
10.42,0.14,0.62,0.06,-0.42,-0.07
10.18,-0.07,-0.20,-0.08,-0.40,-0.05
9.88,0.15,-0.87,-0.07,-0.47,-0.02
9.72,0.04,-1.72,-0.03,-0.49,0.03
9.60,-0.10,-2.72,0.00,-0.49,-0.01
8.71,-0.30,-3.43,-0.09,-0.30,-0.02
9.45,-0.01,-3.92,-0.05,-0.10,0.01
9.00,-0.15,-4.13,-0.21,-0.07,-0.06
9.03,0.14,-4.23,-0.12,0.10,-0.05
9.28,0.19,-3.62,-0.12,0.27,-0.03
10.00,0.26,-3.29,-0.18,0.17,-0.07
10.01,0.38,-3.07,-0.14,0.05,-0.03
9.49,0.33,-3.00,-0.07,-0.05,-0.04
9.47,0.17,-2.90,-0.11,0.00,0.01
9.70,0.24,-2.98,-0.12,-0.04,0.00
10.41,0.41,-3.35,-0.02,-0.09,-0.01
10.30,-0.09,-3.38,0.07,-0.04,0.03
9.60,-0.08,-3.21,-0.05,-0.04,0.03
9.80,-0.23,-3.05,-0.19,0.17,-0.02
9.61,-0.06,-2.34,-0.18,0.44,0.01
8.69,0.29,-0.89,-0.21,0.65,-0.06
8.93,0.32,-0.07,-0.12,0.76,-0.02
9.96,0.23,1.46,0.10,0.54,-0.05
10.86,0.24,1.93,0.04,0.06,0.01
