Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
10.13,-0.04,2.61,-0.11,-0.01,-0.03
10.14,-0.11,2.53,-0.10,-0.02,-0.02
10.17,-0.15,2.59,-0.10,-0.01,-0.02
10.17,-0.07,2.55,-0.12,-0.02,-0.03
10.55,-0.04,2.54,-0.10,-0.32,-0.02
9.38,0.21,1.34,-0.13,-0.88,-0.07
9.80,-0.19,-0.66,-0.09,-0.92,-0.08
9.26,0.00,-2.17,-0.17,-0.69,-0.06
8.89,0.11,-3.68,0.02,-0.57,-0.02
8.31,0.15,-4.21,-0.07,-0.43,-0.02
7.83,-0.14,-4.56,-0.07,-0.26,0.00
8.39,-0.10,-5.33,-0.09,-0.09,0.01
7.85,0.15,-5.23,-0.24,0.11,-0.11
9.03,-0.20,-4.83,-0.22,0.36,-0.04
10.00,0.09,-4.38,-0.18,0.40,-0.02
10.50,0.25,-3.99,-0.09,0.12,0.05
8.94,0.10,-3.52,-0.11,-0.16,-0.02
9.26,0.16,-3.93,-0.09,-0.03,-0.03
10.25,-0.01,-4.44,-0.08,-0.12,-0.01
9.55,-0.50,-4.69,0.08,-0.12,0.17
9.41,-0.31,-4.44,-0.17,0.06,0.05
9.62,-0.34,-4.28,-0.10,0.43,-0.03
9.35,0.01,-2.65,-0.19,0.78,-0.13
8.88,-0.20,-0.74,-0.06,1.04,-0.06
8.54,0.23,1.07,0.00,0.63,0.00
10.43,-0.20,2.26,-0.09,0.26,0.02
10.12,-0.08,1.96,-0.06,-0.02,0.00
10.20,-0.13,2.34,-0.07,-0.05,0.00
10.18,-0.07,1.96,-0.13,-0.06,-0.01
10.17,-0.14,2.24,-0.07,-0.03,0.00
