Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.93,-0.49,3.29,-0.11,-0.02,-0.04
10.06,-0.35,3.1,-0.1,-0.02,-0.03
10.09,-0.4,3.37,0,0,-0.05
10.23,-0.22,3.13,0.35,-0.2,-0.38
10.18,0.74,2.41,0.62,-0.62,-0.85
9.35,2.82,0.8,0.49,-0.74,-1.27
7.75,5.53,-1.13,0.4,-0.72,-1.22
5.92,6.29,-2.94,0.5,-0.93,-1.01
3.81,7.12,-4.47,0.27,-0.71,-0.91
2.42,7.8,-5.41,0.17,-0.36,-0.56
1.5,7.71,-5.46,-0.06,-0.12,-0.37
