Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-2.75,1.39,-8.92,-0.1,-0.53,-0.18
-3.31,1.55,-8.62,-0.15,-0.14,-0.08
-3,1.53,-8.29,-0.09,0.02,0
-3.2,1.47,-8.73,-0.12,0.08,-0.01
-3.37,1.76,-9.08,-0.09,0.58,0.08
-1.01,1.56,-8.89,-0.1,1.63,0.34
3.91,1.07,-7.58,0.18,1.91,0.4
7.2,0.5,-5.6,-0.03,1.84,0.21
9.23,0.07,-3.13,-0.22,1.59,0.17
10.22,-0.14,-0.86,-0.23,0.98,0.13
10.28,0.03,0.06,-0.19,0.41,-0.01
10.26,0.09,0.69,-0.16,0.24,-0.01
