Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
9.61,-2.59,3.56,-0.49,0.05,-0.15
10.09,-2.55,3.28,-0.63,-0.43,-0.18
8.95,-2.28,1.16,-0.49,-1.68,-0.21
8.02,-1.75,-2.16,-0.55,-1.78,-0.3
7.44,-0.37,-5.5,-0.26,-1.54,-0.31
5.64,-0.44,-7.14,0.18,-1.1,-0.17
5.26,-0.38,-9.44,-0.25,-0.76,-0.18
4.42,-0.29,-9.51,-0.26,-0.12,-0.04
4.56,0.49,-9.95,-0.18,0.54,0.12
6.13,0.33,-8.18,0.11,1.34,0.26
6.85,-0.9,-3.99,0.4,1.96,0.33
8.42,-1.51,-0.51,0.3,1.81,0.21
